name,segment,company_or_project,source_url,stars,contact_channel,why_relevant,personalized_hook,status,next_action
firecrawl,agent_tooling,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,119289,GitHub issue/discussion/PR only after manual review,"Web search/scrape API used by AI agents; agent workflows often give it outbound web/data access.","Your agent users already trust Firecrawl with web retrieval. ClawMoat can show what downstream agents can touch after scraped content enters the loop.",candidate_unreviewed,"Manual fit check, run local scan, then offer exposure report or docs PR if useful"
gemini-cli,local_coding_agent,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,103869,GitHub issue/discussion/PR only after manual review,"Terminal AI agent with MCP client/server topics and local machine access.","Gemini CLI is exactly the boundary ClawMoat is built for: terminal agent, local files, shell, MCP, outbound data.",candidate_unreviewed,"Manual fit check, scan MCP/security docs, then offer containment feedback"
claude-mem,local_agent_memory,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,75412,GitHub issue/discussion/PR only after manual review,"Persistent context/memory for Claude Code and agent sessions.","Persistent memory raises a simple buyer fear: what sensitive context gets stored or replayed? ClawMoat can scan the boundary around session content.",candidate_unreviewed,"Manual fit check, scan docs/examples for secret/session exposure risks"
daytona,agent_runtime,daytonaio/daytona,https://github.com/daytonaio/daytona,72428,GitHub issue/discussion/PR only after manual review,"Secure elastic infrastructure for running AI-generated code.","Daytona already owns sandboxed execution. ClawMoat can complement that with agent-level policy and outbound/content scanning.",candidate_unreviewed,"Manual fit check, look for integration or comparison angle"
oh-my-openagent,local_agent_harness,code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,57575,GitHub issue/discussion/PR only after manual review,"Agent harness for Claude/Cursor/Gemini/OpenCode-style local workflows.","Harness users are likely running agents with filesystem and tool permissions. Offer a ClawMoat scan/report, not a generic pitch.",candidate_unreviewed,"Manual fit check, scan config examples, draft badge/report offer"
oh-my-claudecode,local_agent_harness,Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,33682,GitHub issue/discussion/PR only after manual review,"Teams-first multi-agent orchestration for Claude Code.","Multi-agent orchestration expands blast radius. ClawMoat can give them a concrete security boundary story.",candidate_unreviewed,"Manual fit check, scan docs for tool/file permissions"
nanoclaw,local_agent_runtime,nanocoai/nanoclaw,https://github.com/nanocoai/nanoclaw,28831,GitHub issue/discussion/PR only after manual review,"Lightweight OpenClaw alternative with messaging integrations and container security.","The project already talks about secure containers. ClawMoat can be the host/agent firewall layer around that story.",candidate_unreviewed,"Manual fit check, scan install and integration docs"
composio,agent_tools,ComposioHQ/composio,https://github.com/ComposioHQ/composio,28204,GitHub issue/discussion/PR only after manual review,"Toolkits, auth, MCP, and workbench for AI agents.","Composio connects agents to real tools and auth. That is the exact moment buyers ask what the agent can touch.",candidate_unreviewed,"Manual fit check, identify safe integration/badge angle"
playwright-mcp,mcp_server,microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,32459,GitHub issue/discussion/PR only after manual review,"Browser automation MCP server.","Browser MCP exposes a powerful surface: cookies, sessions, pages, and network. ClawMoat can frame the containment risk cleanly.",candidate_unreviewed,"Manual fit check only; Microsoft outreach requires strong evidence and no spam"
activepieces,mcp_workflow_automation,activepieces/activepieces,https://github.com/activepieces/activepieces,22171,GitHub issue/discussion/PR only after manual review,"AI agents, MCPs, and workflow automation with many integrations.","Workflow automation plus MCP equals lots of tool permissions. Offer a concrete exposure scan for one agent workflow.",candidate_unreviewed,"Manual fit check, find community/discussion venue"
Figma-Context-MCP,mcp_server,GLips/Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,14739,GitHub issue/discussion/PR only after manual review,"MCP server feeding Figma context to coding agents.","Design context flows into coding agents, then code/files get changed. ClawMoat can scan the handoff boundary.",candidate_unreviewed,"Manual fit check, scan package config and docs"
mcp-chrome,mcp_server,hangwin/mcp-chrome,https://github.com/hangwin/mcp-chrome,11609,GitHub issue/discussion/PR only after manual review,"Chrome extension MCP server exposing browser functionality to AI assistants.","Browser access is visceral: sessions, cookies, tabs, forms. This is a strong ClawMoat exposure-report candidate.",reviewed_draft_ready,"Reviewed upstream commit f48e717; drafted internal exposure report at docs/launch/mcp-chrome-exposure-draft.md. Ask Dar before external issue/PR/discussion."
mcp-use,mcp_framework,mcp-use/mcp-use,https://github.com/mcp-use/mcp-use,9948,GitHub issue/discussion/PR only after manual review,"Fullstack MCP framework for apps and servers.","MCP framework users need a default security story. ClawMoat can offer a scan/badge path for example projects.",candidate_unreviewed,"Manual fit check, look for docs contribution angle"
inspector,mcp_testing,modelcontextprotocol/inspector,https://github.com/modelcontextprotocol/inspector,9746,GitHub issue/discussion/PR only after manual review,"Visual testing tool for MCP servers.","Inspector is where MCP developers already test behavior. ClawMoat could be positioned as the security scan after functional inspection.",candidate_unreviewed,"Manual fit check; likely ecosystem relationship rather than cold issue"
git-mcp,mcp_server,idosal/git-mcp,https://github.com/idosal/git-mcp,8077,GitHub issue/discussion/PR only after manual review,"Remote MCP server for GitHub projects.","GitHub-project context can include repo metadata and code. ClawMoat can scan what agents ingest and emit around repo data.",candidate_unreviewed,"Manual fit check, scan for supply-chain/prompt-injection docs angle"
DesktopCommanderMCP,mcp_server,wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,6036,GitHub issue/discussion/PR only after manual review,"MCP server giving Claude terminal control, filesystem search, and file editing.","This is a top-fit target: terminal control plus filesystem editing is exactly ClawMoat's machine boundary message.",reviewed_draft_ready,"Reviewed upstream commit 9c44119; ClawMoat flags mutable pipe-to-shell README installer. Draft report ready at docs/launch/desktop-commander-mcp-exposure-draft.md; ask Dar before external PR/issue."
XcodeBuildMCP,mcp_server,getsentry/XcodeBuildMCP,https://github.com/getsentry/XcodeBuildMCP,5513,GitHub issue/discussion/PR only after manual review,"MCP server/CLI giving agents Xcode build tools.","Build tools let agents run local commands and touch project files. ClawMoat can offer a narrow scan for dangerous tool permissions.",candidate_unreviewed,"Manual fit check, no outreach until report is specific"
everything-claude-code,local_agent_resources,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,181137,GitHub issue/discussion/PR only after manual review,"Claude Code skills/security/research-first development resource.","Audience already cares about Claude Code operations. A ClawMoat resource PR could be valuable if it adds a real security checklist.",candidate_unreviewed,"Manual fit check, consider docs/resource PR only if non-promotional"
hermes-agent,local_agent_runtime,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,148230,GitHub issue/discussion/PR only after manual review,"Local agent with OpenClaw/Hermes/Claude/Codex ecosystem topics.","Hermes-style agents have tool access, memory, shells, and skills. ClawMoat's machine-boundary pitch fits cleanly.",candidate_unreviewed,"Manual fit check; likely warm/internal channel possible, ask Dar before external action"
claude-code,local_coding_agent,anthropics/claude-code,https://github.com/anthropics/claude-code,123189,GitHub issue/discussion/PR only after manual review,"Agentic coding tool in the terminal.","The core ClawMoat message maps directly: terminal coding agent, repo/filesystem access, shell commands.",candidate_unreviewed,"Enterprise-scale target; do not cold-post without polished evidence/demo"
cc-switch,local_agent_desktop,farion1231/cc-switch,https://github.com/farion1231/cc-switch,69644,GitHub issue/discussion/PR only after manual review,"Desktop assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI, Hermes Agent.","Provider switching expands the agent surface. ClawMoat can scan the common boundary across all connected agents.",candidate_unreviewed,"Manual fit check, scan docs for security page contribution"
